( Transverse wakefield for ILC 9-cell cavity 18-feb-2005
( For z<6 mm wakes are from equations by Zagorodnov and Weiland, 2003
( For z>6 mm wake supplied by Zagorodnov in private calculation
( #    z[m]           W(z) [V/c/m]
172   3.420000e-002   8.205448e+011
173   3.440000e-002   8.129918e+011
174   3.460000e-002   8.052847e+011
175   3.480000e-002   7.975313e+011
176   3.500000e-002   7.898022e+011
177   3.520000e-002   7.821467e+011
178   3.540000e-002   7.746089e+011
179   3.560000e-002   7.672421e+011
180   3.580000e-002   7.601192e+011
181   3.600000e-002   7.533383e+011
182   3.620000e-002   7.470222e+011
183   3.640000e-002   7.413134e+011
184   3.660000e-002   7.363646e+011
185   3.680000e-002   7.323261e+011
186   3.700000e-002   7.293319e+011
187   3.720000e-002   7.274868e+011
188   3.740000e-002   7.268555e+011
189   3.760000e-002   7.274567e+011
190   3.780000e-002   7.292599e+011
191   3.800000e-002   7.321885e+011
192   3.820000e-002   7.361237e+011
193   3.840000e-002   7.409122e+011
194   3.860000e-002   7.463730e+011
195   3.880000e-002   7.523040e+011
196   3.900000e-002   7.584893e+011
197   3.920000e-002   7.647038e+011
198   3.940000e-002   7.707204e+011
199   3.960000e-002   7.763151e+011
200   3.980000e-002   7.812742e+011
201   4.000000e-002   7.854018e+011
202   4.020000e-002   7.885276e+011
203   4.040000e-002   7.905140e+011
204   4.060000e-002   7.912637e+011
205   4.080000e-002   7.907253e+011
206   4.100000e-002   7.888955e+011
207   4.120000e-002   7.858196e+011
208   4.140000e-002   7.815868e+011
209   4.160000e-002   7.763219e+011
210   4.180000e-002   7.701733e+011
211   4.200000e-002   7.632972e+011
212   4.220000e-002   7.558415e+011
213   4.240000e-002   7.479300e+011
214   4.260000e-002   7.396509e+011
215   4.280000e-002   7.310497e+011
216   4.300000e-002   7.221296e+011
217   4.320000e-002   7.128570e+011
218   4.340000e-002   7.031728e+011
219   4.360000e-002   6.930049e+011
220   4.380000e-002   6.822804e+011
221   4.400000e-002   6.709348e+011
222   4.420000e-002   6.589165e+011
223   4.440000e-002   6.461872e+011
224   4.460000e-002   6.327191e+011
225   4.480000e-002   6.184891e+011
226   4.500000e-002   6.034732e+011
227   4.520000e-002   5.876403e+011
228   4.540000e-002   5.709481e+011
229   4.560000e-002   5.533393e+011
230   4.580000e-002   5.347401e+011
231   4.600000e-002   5.150604e+011
232   4.620000e-002   4.941970e+011
233   4.640000e-002   4.720396e+011
234   4.660000e-002   4.484786e+011
235   4.680000e-002   4.234156e+011
236   4.700000e-002   3.967725e+011
237   4.720000e-002   3.685006e+011
238   4.740000e-002   3.385856e+011
239   4.760000e-002   3.070506e+011
240   4.780000e-002   2.739549e+011
241   4.800000e-002   2.393914e+011
242   4.820000e-002   2.034827e+011
243   4.840000e-002   1.663773e+011
244   4.860000e-002   1.282471e+011
245   4.880000e-002   8.928468e+010
246   4.900000e-002   4.970284e+010
247   4.920000e-002   9.732015e+009
248   4.940000e-002   -3.038245e+010
249   4.960000e-002   -7.038500e+010
250   4.980000e-002   -1.100169e+011
251   5.000000e-002   -1.490250e+011
252   5.020000e-002   -1.871724e+011
253   5.040000e-002   -2.242500e+011
254   5.060000e-002   -2.600880e+011
255   5.080000e-002   -2.945676e+011
256   5.100000e-002   -3.276298e+011
257   5.120000e-002   -3.592817e+011
258   5.140000e-002   -3.895992e+011
259   5.160000e-002   -4.187231e+011
260   5.180000e-002   -4.468504e+011
261   5.200000e-002   -4.742193e+011
262   5.220000e-002   -5.010902e+011
263   5.240000e-002   -5.277232e+011
264   5.260000e-002   -5.543571e+011
265   5.280000e-002   -5.811903e+011
266   5.300000e-002   -6.083679e+011
267   5.320000e-002   -6.359740e+011
268   5.340000e-002   -6.640322e+011
269   5.360000e-002   -6.925120e+011
270   5.380000e-002   -7.213379e+011
271   5.400000e-002   -7.504026e+011
272   5.420000e-002   -7.795790e+011
273   5.440000e-002   -8.087314e+011
274   5.460000e-002   -8.377237e+011
275   5.480000e-002   -8.664251e+011
276   5.500000e-002   -8.947132e+011
277   5.520000e-002   -9.224758e+011
278   5.540000e-002   -9.496113e+011
279   5.560000e-002   -9.760306e+011
280   5.580000e-002   -1.001659e+012
281   5.600000e-002   -1.026439e+012
282   5.620000e-002   -1.050332e+012
283   5.640000e-002   -1.073327e+012
284   5.660000e-002   -1.095435e+012
285   5.680000e-002   -1.116694e+012
286   5.700000e-002   -1.137170e+012
287   5.720000e-002   -1.156948e+012
288   5.740000e-002   -1.176135e+012
289   5.760000e-002   -1.194854e+012
290   5.780000e-002   -1.213239e+012
291   5.800000e-002   -1.231434e+012
292   5.820000e-002   -1.249587e+012
293   5.840000e-002   -1.267851e+012
294   5.860000e-002   -1.286375e+012
295   5.880000e-002   -1.305302e+012
296   5.900000e-002   -1.324768e+012
297   5.920000e-002   -1.344889e+012
298   5.940000e-002   -1.365766e+012
299   5.960000e-002   -1.387475e+012
300   5.980000e-002   -1.410066e+012
301   6.000000e-002   -1.433557e+012
302   6.020000e-002   -1.457932e+012
303   6.040000e-002   -1.483134e+012
304   6.060000e-002   -1.509064e+012
305   6.080000e-002   -1.535580e+012
306   6.100000e-002   -1.562499e+012
307   6.120000e-002   -1.589607e+012
308   6.140000e-002   -1.616671e+012
309   6.160000e-002   -1.643458e+012
310   6.180000e-002   -1.669760e+012
311   6.200000e-002   -1.695416e+012
312   6.220000e-002   -1.720336e+012
313   6.240000e-002   -1.744521e+012
314   6.260000e-002   -1.768089e+012
315   6.280000e-002   -1.791278e+012
316   6.300000e-002   -1.814468e+012
317   6.320000e-002   -1.838176e+012
318   6.340000e-002   -1.863054e+012
319   6.360000e-002   -1.889881e+012
320   6.380000e-002   -1.919543e+012
321   6.400000e-002   -1.952996e+012
322   6.420000e-002   -1.991231e+012
323   6.440000e-002   -2.035217e+012
324   6.460000e-002   -2.085839e+012
325   6.480000e-002   -2.143832e+012
326   6.500000e-002   -2.209706e+012
327   6.520000e-002   -2.283680e+012
328   6.540000e-002   -2.365623e+012
329   6.560000e-002   -2.455008e+012
330   6.580000e-002   -2.550888e+012
331   6.600000e-002   -2.651905e+012
332   6.620000e-002   -2.756321e+012
333   6.640000e-002   -2.862096e+012
334   6.660000e-002   -2.966985e+012
335   6.680000e-002   -3.068684e+012
336   6.700000e-002   -3.164972e+012
337   6.720000e-002   -3.253879e+012
338   6.740000e-002   -3.333835e+012
339   6.760000e-002   -3.403789e+012
340   6.780000e-002   -3.463293e+012
341   6.800000e-002   -3.512519e+012
342   6.820000e-002   -3.552218e+012
343   6.840000e-002   -3.583620e+012
344   6.860000e-002   -3.608273e+012
345   6.880000e-002   -3.627867e+012
346   6.900000e-002   -3.644030e+012
347   6.920000e-002   -3.658154e+012
348   6.940000e-002   -3.671269e+012
349   6.960000e-002   -3.683959e+012
350   6.980000e-002   -3.696371e+012
351   7.000000e-002   -3.708272e+012
352   7.020000e-002   -3.719174e+012
353   7.040000e-002   -3.728477e+012
354   7.060000e-002   -3.735627e+012
355   7.080000e-002   -3.740243e+012
356   7.100000e-002   -3.742198e+012
357   7.120000e-002   -3.741641e+012
358   7.140000e-002   -3.738965e+012
359   7.160000e-002   -3.734720e+012
360   7.180000e-002   -3.729507e+012
361   7.200000e-002   -3.723864e+012
362   7.220000e-002   -3.718175e+012
363   7.240000e-002   -3.712636e+012
364   7.260000e-002   -3.707245e+012
365   7.280000e-002   -3.701854e+012
366   7.300000e-002   -3.696245e+012
367   7.320000e-002   -3.690208e+012
368   7.340000e-002   -3.683614e+012
369   7.360000e-002   -3.676446e+012
370   7.380000e-002   -3.668802e+012
371   7.400000e-002   -3.660859e+012
372   7.420000e-002   -3.652810e+012
373   7.440000e-002   -3.644813e+012
374   7.460000e-002   -3.636938e+012
375   7.480000e-002   -3.629159e+012
376   7.500000e-002   -3.621363e+012
377   7.520000e-002   -3.613384e+012
378   7.540000e-002   -3.605065e+012
379   7.560000e-002   -3.596292e+012
380   7.580000e-002   -3.587025e+012
381   7.600000e-002   -3.577300e+012
382   7.620000e-002   -3.567199e+012
383   7.640000e-002   -3.556817e+012
384   7.660000e-002   -3.546223e+012
385   7.680000e-002   -3.535426e+012
386   7.700000e-002   -3.524362e+012
387   7.720000e-002   -3.512909e+012
388   7.740000e-002   -3.500905e+012
389   7.760000e-002   -3.488181e+012
390   7.780000e-002   -3.474589e+012
391   7.800000e-002   -3.460019e+012
392   7.820000e-002   -3.444406e+012
393   7.840000e-002   -3.427731e+012
394   7.860000e-002   -3.410016e+012
395   7.880000e-002   -3.391319e+012
396   7.900000e-002   -3.371731e+012
397   7.920000e-002   -3.351373e+012
398   7.940000e-002   -3.330390e+012
399   7.960000e-002   -3.308946e+012
400   7.980000e-002   -3.287198e+012
401   8.000000e-002   -3.265285e+012
402   8.020000e-002   -3.243304e+012
403   8.040000e-002   -3.221303e+012
404   8.060000e-002   -3.199285e+012
405   8.080000e-002   -3.177216e+012
406   8.100000e-002   -3.155048e+012
407   8.120000e-002   -3.132735e+012
408   8.140000e-002   -3.110247e+012
409   8.160000e-002   -3.087571e+012
410   8.180000e-002   -3.064701e+012
411   8.200000e-002   -3.041623e+012
412   8.220000e-002   -3.018302e+012
413   8.240000e-002   -2.994675e+012
414   8.260000e-002   -2.970653e+012
415   8.280000e-002   -2.946131e+012
416   8.300000e-002   -2.921008e+012
417   8.320000e-002   -2.895197e+012
418   8.340000e-002   -2.868637e+012
419   8.360000e-002   -2.841303e+012
420   8.380000e-002   -2.813196e+012
421   8.400000e-002   -2.784354e+012
422   8.420000e-002   -2.754841e+012
423   8.440000e-002   -2.724757e+012
424   8.460000e-002   -2.694238e+012
425   8.480000e-002   -2.663453e+012
426   8.500000e-002   -2.632611e+012
427   8.520000e-002   -2.601942e+012
428   8.540000e-002   -2.571695e+012
429   8.560000e-002   -2.542120e+012
430   8.580000e-002   -2.513459e+012
431   8.600000e-002   -2.485935e+012
432   8.620000e-002   -2.459748e+012
433   8.640000e-002   -2.435072e+012
434   8.660000e-002   -2.412053e+012
435   8.680000e-002   -2.390800e+012
436   8.700000e-002   -2.371384e+012
437   8.720000e-002   -2.353827e+012
438   8.740000e-002   -2.338098e+012
439   8.760000e-002   -2.324102e+012
440   8.780000e-002   -2.311681e+012
441   8.800000e-002   -2.300610e+012
442   8.820000e-002   -2.290605e+012
443   8.840000e-002   -2.281338e+012
444   8.860000e-002   -2.272452e+012
445   8.880000e-002   -2.263595e+012
446   8.900000e-002   -2.254441e+012
447   8.920000e-002   -2.244725e+012
448   8.940000e-002   -2.234265e+012
449   8.960000e-002   -2.222972e+012
450   8.980000e-002   -2.210855e+012
451   9.000000e-002   -2.198010e+012
452   9.020000e-002   -2.184600e+012
453   9.040000e-002   -2.170842e+012
454   9.060000e-002   -2.156975e+012
455   9.080000e-002   -2.143242e+012
456   9.100000e-002   -2.129878e+012
457   9.120000e-002   -2.117091e+012
458   9.140000e-002   -2.105063e+012
459   9.160000e-002   -2.093941e+012
460   9.180000e-002   -2.083842e+012
461   9.200000e-002   -2.074863e+012
462   9.220000e-002   -2.067087e+012
463   9.240000e-002   -2.060585e+012
464   9.260000e-002   -2.055434e+012
465   9.280000e-002   -2.051704e+012
466   9.300000e-002   -2.049465e+012
467   9.320000e-002   -2.048771e+012
468   9.340000e-002   -2.049647e+012
469   9.360000e-002   -2.052076e+012
470   9.380000e-002   -2.055984e+012
471   9.400000e-002   -2.061231e+012
472   9.420000e-002   -2.067612e+012
473   9.440000e-002   -2.074857e+012
474   9.460000e-002   -2.082651e+012
475   9.480000e-002   -2.090660e+012
476   9.500000e-002   -2.098549e+012
477   9.520000e-002   -2.106013e+012
478   9.540000e-002   -2.112798e+012
479   9.560000e-002   -2.118711e+012
480   9.580000e-002   -2.123624e+012
481   9.600000e-002   -2.127471e+012
482   9.620000e-002   -2.130234e+012
483   9.640000e-002   -2.131929e+012
484   9.660000e-002   -2.132604e+012
485   9.680000e-002   -2.132321e+012
486   9.700000e-002   -2.131164e+012
487   9.720000e-002   -2.129239e+012
488   9.740000e-002   -2.126677e+012
489   9.760000e-002   -2.123635e+012
490   9.780000e-002   -2.120296e+012
491   9.800000e-002   -2.116858e+012
492   9.820000e-002   -2.113515e+012
493   9.840000e-002   -2.110446e+012
494   9.860000e-002   -2.107791e+012
495   9.880000e-002   -2.105646e+012
496   9.900000e-002   -2.104056e+012
497   9.920000e-002   -2.103026e+012
498   9.940000e-002   -2.102530e+012
499   9.960000e-002   -2.102534e+012
500   9.980000e-002   -2.103000e+012
501   1.000000e-001   -2.103895e+012
